SA2011,lgd1993,catholic_pct_1971,lgd1971_pop
N00002292,CRAIGAVON,38.7,71202
N00002291,CRAIGAVON,38.7,71202
N00002299,CRAIGAVON,38.7,71202
N00002298,CRAIGAVON,38.7,71202
N00002197,CRAIGAVON,38.7,71202
N00002200,CRAIGAVON,38.7,71202
N00002230,CRAIGAVON,38.7,71202
N00002198,CRAIGAVON,38.7,71202
N00002201,CRAIGAVON,38.7,71202
N00002199,CRAIGAVON,38.7,71202
N00002231,CRAIGAVON,38.7,71202
N00002229,CRAIGAVON,38.7,71202
N00002235,CRAIGAVON,38.7,71202
N00002233,CRAIGAVON,38.7,71202
N00002232,CRAIGAVON,38.7,71202
N00002188,CRAIGAVON,38.7,71202
N00002191,CRAIGAVON,38.7,71202
N00002362,CRAIGAVON,38.7,71202
N00002363,CRAIGAVON,38.7,71202
N00002193,CRAIGAVON,38.7,71202
N00002216,CRAIGAVON,38.7,71202
N00002361,CRAIGAVON,38.7,71202
N00002215,CRAIGAVON,38.7,71202
N00002365,CRAIGAVON,38.7,71202
N00002364,CRAIGAVON,38.7,71202
N00002366,CRAIGAVON,38.7,71202
N00002184,CRAIGAVON,38.7,71202
N00002367,CRAIGAVON,38.7,71202
N00002186,CRAIGAVON,38.7,71202
